Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
HuyÒn Kim Tinh Kho¸ng	2	0	126	1	0	1												\image\item\other\meta_005a1.spr	\image\item\other\meta_005a0.spr	Kim lo¹i quı trong Linh Nham ®éng ®­îc nhiÒu thî rÌn danh tiÕng dïng kh¶m n¹m b¶o ®ao.		NhiÖm vô		1	0	1		
ThÇn V­¬ng Méc	2	0	127	1	0	1												\image\item\other\wood_005a1.spr	\image\item\other\wood_005a0.spr	Cæ thô ngµn n¨m chØ cã ë Héi Tiªn LÜnh.		NhiÖm vô		1	0	1		
§én Long B¶o §ao	2	0	128	1	0	1												\image\item\other\quest_036a1.spr	\image\item\other\quest_036a0.spr	B¶o ®ao cña D­¬ng LÖnh C«ng ®· dïng, cã uy lùc dòng m·nh.		NhiÖm vô		1	0	1		
L«ng chim loan	2	0	129	1	0	1												\image\item\other\orskin_007a1.spr	\image\item\other\orskin_007a0.spr	DŞ b¶o dïng kÕt thµnh xiªm y.		NhiÖm vô		1	0	1		
T¬ t»m C«n Ng«	2	0	130	1	0	1												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	DŞ b¶o ®Æc s¶n ë C«n Ng« s¬n dïng dÖt may y phôc.		NhiÖm vô		1	0	1		
B¸ch §iÓu QuÇn	2	0	131	1	0	1												\image\item\other\quest_037a1.spr	\image\item\other\quest_037a0.spr	T­¬ng truyÒn vËt phÈm §­êng Minh Hoµng riªng tÆng cho D­¬ng Quı Phi.		NhiÖm vô		1	0	1		
§­¬ng Quy	2	0	132	1	0	1												\image\item\usable\medi_005a1.spr	\image\item\usable\medi_005a0.spr	D­îc liÖu quı hiÕm, bæ huyÕt, cã thÓ dïng chÕ biÕn thøc ¨n.		NhiÖm vô		1	0	1		
CÈm Xµ	2	0	133	1	0	1												\image\item\other\orskin_003a1.spr	\image\item\other\orskin_003a0.spr	Cã thÓ bµo chÕ thµnh cao l­¬ng mü vŞ.		NhiÖm vô		1	0	1		
R¾n hÇm §­¬ng Quy	2	0	134	1	0	1												\image\item\usable\edib_008a1.spr	\image\item\usable\edib_008a0.spr	Mãn ¨n næi tiÕng ë Thµnh §«, gióp båi bæ huyÕt.		NhiÖm vô		1	0	1		
S­ phô mËt hµm	2	0	135	1	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	NhÊp chuét ph¶i më mËt hµm cã thÓ biÕt ®­îc lêi dÆn dß cña s­ phô.		NhiÖm vô	\script\item\random_pack.lua	1	0	0		
TÈy Tñy ®¬n	2	0	136	1	0	1												\image\item\usable\rich_001a1.spr	\image\item\usable\rich_001a0.spr	Gióp håi phôc g©n cèt<enter> <color=Gold>(Ph©n phèi l¹i 5 ®iÓm tiÒm n¨ng tïy ı)		D­îc phÈm	\script\item\item_billing\xisuidan.lua	1	0	1		
TÈy Tñy linh ®¬n	2	0	137	1	0	1												\image\item\usable\rich_002a1.spr	\image\item\usable\rich_002a0.spr	C¸c tiªn nh©n ®Æc biÖt bµo chÕ cho ng­êi muèn chuyÓn h­íng luyÖn c«ng<enter> <color=Gold>(Tïy ı ph©n phèi l¹i ®iÓm tiÒm n¨ng)		D­îc phÈm	\script\item\item_billing\xisuilingdan.lua	1	0	1		
B¸t B¶o TÈy Tñy Tiªn §¬n	2	0	138	1	0	1												\image\item\usable\rich_003a1.spr	\image\item\usable\rich_003a0.spr	ThÇn d­îc cña Th¸i Th­îng l·o qu©n chÕ luyÖn<enter> <color=Gold>TÈy l¹i tÊt c¶ ®iÓm tiÒm n¨ng.		D­îc phÈm	\script\item\item_billing\babaoxisuixiandan.lua	1	0	1		
B¶o r­¬ng ThÇn bİ	2	0	139	1	0	999												\image\item\usable\rich_004a1.spr	\image\item\usable\rich_004a0.spr	B¶o r­¬ng thÇn bİ bªn trong Èn chøa nhiÒu bİ mËt.		NhiÖm vô	\script\item\shenmibaoxiang.lua	1	0	0		
TriÖu Yªu phï	2	0	140	1	0	999												\image\item\usable\rich_005a1.spr	\image\item\usable\rich_005a0.spr	Phï chó bŞ yªu ma lµm phĞp, kh«ng ai biÕt qu¸i vËt bªn trong ra sao.		NhiÖm vô	\script\item\zhaoyaofu.lua	1	0	0		
Tiªu KiÕp t¸n	2	0	141	1	0	999												\image\item\usable\rich_006a1.spr	\image\item\usable\rich_006a0.spr	C¸ch chÕ luyÖn chØ ®­îc ghi chĞp trong c¸c s¸ch cæ, gióp röa bít nghiÖp ch­íng<enter> <color=Gold>(Gi¶m 1 ®iÓm PK).		D­îc phÈm	\script\item\item_billing\xiaojiesan.lua	1	0	1		
HuyÒn Hoµng B¶o ®¬n	2	0	142	1	0	999												\image\item\other\Ğş»Æ±¦µ¤a1.spr	\image\item\other\Ğş»Æ±¦µ¤a0.spr	§­îc chÕ luyÖn tõ Tiªn Phong Lé Thñy trªn ®Ønh Bång Lai s¬n, gióp xãa hÕt nghiÖp ch­íng.<enter> <color=Gold>(Xãa tÊt c¶ ®iÓm PK).		D­îc phÈm	\script\item\item_billing\xuanhuangbaodan.lua	1	0	1		
ThÇn Hµnh phï	2	0	143	1	0	999												\image\item\usable\rich_008a1.spr	\image\item\usable\rich_008a0.spr	T­¬ng truyÒn lµ phï chó trªn gi¸p m· cña ThÇn Hµnh Th¸i B¶o, sö dông cã thÓ ®i xa tr¨m dÆm trong 1 ngµy.		NhiÖm vô	\script\item\shenxingfu.lua	1	0	0		
Hµnh lı cña Tr­¬ng B¸ H¸n	2	0	144	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Hµnh lı Tr­¬ng B¸ H¸n ho¶ng vİa ®¸nh r¬i ë Vò Di s¬n.		NhiÖm vô		1	2	0		
Da Th­¬ng Viªn	2	0	145	1	0	1												\image\item\other\orskin_010a1.spr	\image\item\other\orskin_010a0.spr	Da Th­¬ng Viªn		NhiÖm vô		1	2	0		
L«ng Ng©n hå	2	0	146	1	0	1												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	L«ng cña Ng©n hå.		NhiÖm vô		1	2	0		
B×nh rçng	2	0	147	1	0	1												\image\item\usable\heal_022a1.spr	\image\item\usable\heal_022a0.spr	B×nh nhá cña L­u HuyÒn Thanh dïng luyÖn ®¬n		NhiÖm vô	\script\task\world\lizhi_ÑïÖİ\task_kpz.lua	1	2	0		
Bïn ë L­ìng Thñy ®éng	2	0	148	1	0	1												\image\item\usable\heal_022a1.spr	\image\item\usable\heal_022a0.spr	B×nh nhá chøa ®Çy ®Êt ë L­ìng Thñy ®éng, kh¶ n¨ng cã hån ph¸ch b»ng h÷u cña L­u HuyÒn Thanh trong ®ã.		NhiÖm vô		1	2	0		
Son Thiªn H­¬ng	2	0	149	1	0	1												\image\item\other\coll_059a1.spr	\image\item\other\coll_059a0.spr	Son cã mïi h­¬ng cã thÓ khiÕn c©u hån ®o¹t ph¸ch.		NhiÖm vô		1	2	0		
Háa Kú L©n HuyÕt	2	0	150	1	100000	1												\image\item\other\fulife_005a1.spr	\image\item\other\fulife_005a0.spr	M¸u cña Háa Kú L©n		NhiÖm vô		1	2	1		
Th¶m	2	0	151	1	0	1												\image\item\other\baitan_001a1.spr	\image\item\other\baitan_001a0.spr	C¸c tiÓu th­¬ng tr·i ra bµy vËt phÈm lªn ®Ó b¸n.		Chuyªn dïng bµy b¸n		1	0	1		
Xe hµng (tiÓu)	2	0	152	1	0	1												\image\item\other\baitan_002a1.spr	\image\item\other\baitan_002a0.spr	Lo¹i xe th« s¬ c¸c tiÓu th­¬ng dïng ®Ó vËn chuyÓn vËt phÈm.		Chuyªn dïng bµy b¸n		1	0	1		
Th­¬ng xa	2	0	153	1	0	1												\image\item\other\baitan_003a1.spr	\image\item\other\baitan_003a0.spr	Lo¹i xe chuyªn chë vËt phÈm cña c¸c th­¬ng nh©n.		Chuyªn dïng bµy b¸n		1	0	1		
Xe hµng (®¹i)	2	0	154	1	0	1												\image\item\other\baitan_004a1.spr	\image\item\other\baitan_004a0.spr	C¸c th­¬ng nh©n chuyªn dïng ®Ó chë hµng.		Chuyªn dïng bµy b¸n		1	0	1		
Tñ lé thiªn	2	0	155	1	0	1												\image\item\other\baitan_005a1.spr	\image\item\other\baitan_005a0.spr	Tñ bµy hµng cña c¸c ®¹i th­¬ng gia! Cã phĞp cña quan phñ míi ®­îc bµy b¸n.		Chuyªn dïng bµy b¸n		1	0	1		
CÈu Khuyªn	2	0	156	1	666	999												\image\item\other\quest_034a1.spr	\image\item\other\quest_034a0.spr	Lo¹i vßng quÊn quanh cæ chã, th­êng lµm b»ng s¾t hoÆc b»ng b¹c, cã m¾c thªm d©y thõng ®Ó d¾t cho ®i.		Thu thËp		1	0	0		
§ïi chã	2	0	157	1	456	999												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	§ïi sau cña chã, mì dÇy nhiÒu thŞt.		Thu thËp		1	0	0		
R¨ng chã	2	0	158	1	256	999												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	R¨ng cöa cña chã, ch¾c ch¾n vµ nhän.		Thu thËp		1	0	0		
HiÖu bµi Gia ®inh	2	0	159	1	456	999												\image\item\other\coll_066a1.spr	\image\item\other\coll_066a0.spr	Sè hiÖu cña gia ®inh trong Tµng KiÕm s¬n trang dïng x¸c nhËn th©n phËn.		Thu thËp		1	0	0		
GiÊy b¸n th©n	2	0	160	1	666	999												\image\item\other\secr_013a1.spr	\image\item\other\secr_013a0.spr	GiÊy b¸n th©n cña gia ®inh Tµng KiÕm s¬n trang ghi râ lı do vµ kú h¹n b¸n th©n cã dÊu tay x¸c nhËn cña hai phİa chñ tí.		Thu thËp		1	0	0		
§uèc	2	0	161	1	256	999												\image\item\other\coll_125a1.spr	\image\item\other\coll_125a0.spr	§uèc tõ nhùa th«ng dïng th¾p s¸ng.		Thu thËp		1	0	0		
M«ng H¸n d­îc	2	0	162	1	256	999												\image\item\usable\heal_027a1.spr	\image\item\usable\heal_027a0.spr	Bét thuèc khiÕn h«n mª t¹m thêi, cÇn thiÕt khi hµnh tÈu giang hå.		Thu thËp		1	0	0		
Gi¸o ®Çu th­	2	0	163	1	456	999												\image\item\other\secr_013a1.spr	\image\item\other\secr_013a0.spr	Th­ mêi cña Tæng gi¸o ®Çu Tµng KiÕm s¬n trang, cã th­ nµy míi ®­îc ra vµo s¬n trang ®¹i viÖn.		Thu thËp		1	0	0		
Quû §Çu ®¹i ®ao	2	0	164	1	666	999												\image\item\other\coll_075a1.spr	\image\item\other\coll_075a0.spr	Binh khİ s¾t bĞn, hiÖp kh¸ch hµnh th­êng sö dông.		Thu thËp		1	0	0		
Chæi quĞt	2	0	165	1	256	999												\image\item\other\coll_126a1.spr	\image\item\other\coll_126a0.spr	Dông cô quĞt nhµ th«ng th­êng ®­îc lµm tõ b«ng cao l­¬ng.		Thu thËp		1	0	0		
Lång ®Ìn l­u ly	2	0	166	1	666	999												\image\item\other\coll_127a1.spr	\image\item\other\coll_127a0.spr	Lång ®Ìn s¸ng rùc, cã thÓ chèng ®­îc n­íc m­a.		Thu thËp		1	0	0		
Ch×a khãa cò	2	0	167	1	456	999												\image\item\other\coll_128a1.spr	\image\item\other\coll_128a0.spr	Ch×a khãa cò kü kh«ng thÓ sö dông.		Thu thËp		1	0	0		
Hép gÊm	2	0	168	1	5000	999												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	Bªn trong chøa nhiÒu gÊm ®Ñp vµ b¸u vËt quı hiÕm.		Thu thËp	\script\item\jinhe.lua	1	0	0		
TÈu ®ång	2	0	169	1	2000	999												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Dµi h¬n 1 mĞt, lµ lo¹i kú m«n binh khİ.		Thu thËp		1	0	0		
§¸ löa	2	0	170	1	1000	999												\image\item\other\secr_029a1.spr	\image\item\other\secr_029a0.spr	§¸ löa th­êng gÆp ®­îc gãi trong v¶i dÇu.		Thu thËp		1	0	0		
ThiÕt Kú	2	0	171	1	1000	999												\image\item\other\coll_129a1.spr	\image\item\other\coll_129a0.spr	Cê b»ng s¾t cã hai mÆt tr¾ng ®en.		Thu thËp		1	0	0		
Bµn ThiÕt Kú	2	0	172	1	2000	999												\image\item\other\coll_130a1.spr	\image\item\other\coll_130a0.spr	Bµn cê s¾t mµu ®en tuyÒn lµm tõ s¾t nam ch©m.		Thu thËp		1	0	0		
DŞch Lı ChØ Quy	2	0	173	1	5000	999												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	Cæ Kú Phæ ghi chĞp c¸ch ®¸nh cê v©y.		Thu thËp		1	0	0		
Kh¨n gÊm	2	0	174	1	1000	999												\image\item\other\coll_131a1.spr	\image\item\other\coll_131a0.spr	C¸c tiÓu th­ th­êng dïng.		Thu thËp		1	0	0		
 Roi da	2	0	175	1	2000	999												\image\item\other\coll_132a1.spr	\image\item\other\coll_132a0.spr	§¹i tiÓu th­ trong Tµng KiÕm s¬n trang lu«n mang theo bªn m×nh, dïng ®Ó ®¸nh n« béc.		Thu thËp		1	0	0		
Son m«i	2	0	176	1	5000	999												\image\item\other\coll_133a1.spr	\image\item\other\coll_133a0.spr	Mü phÈm cña c¸c thiÕu n÷.		Thu thËp		1	0	0		
TiÓu Tµng KiÕm	2	0	177	1	356	999												\image\item\other\coll_030a1.spr	\image\item\other\coll_030a0.spr	X¸c nhËn th©n phËn ®Ö tö cña Tµng KiÕm s¬n trang.		Thu thËp		1	0	0		
Trang Chñ B¶o HuÊn	2	0	178	1	556	999												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	Lêi gi¸o huÊn cña trang chñ nhiÒu ®êi trong Tµng KiÕm s¬n trang.		Thu thËp		1	0	0		
Mª Hån H­¬ng	2	0	179	1	756	999												\image\item\other\coll_140a1.spr	\image\item\other\coll_140a0.spr	Ng­êi hİt ph¶i sÏ bŞ mª muéi, khã tho¸t khái ¸i t×nh!		Thu thËp		1	0	0		
Liªn Hoµn QuyÕt	2	0	180	1	356	999												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	Bİ kiÕp trËn ph¸p Liªn Hoµn æ.		Thu thËp		1	0	0		
Khu V¨n h­¬ng	2	0	181	1	556	999												\image\item\other\coll_140a1.spr	\image\item\other\coll_140a0.spr	Nhang th­êng dïng ®Ó ®uæi muçi.		Thu thËp		1	0	0		
B×nh An Táa	2	0	182	1	756	999												\image\item\other\coll_134a1.spr	\image\item\other\coll_134a0.spr	Khãa ®ång cã kh¾c tªn chñ nh©n.		Thu thËp		1	0	0		
B¶n ®å s¬n trang	2	0	183	1	1000	999												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	VÏ ®Şa h×nh cña Tµng KiÕm s¬n trang.		Thu thËp		1	0	0		
Tµng KiÕm ThiÕt Bµi	2	0	184	1	5000	999												\image\item\other\skius_002a1.spr	\image\item\other\skius_002a0.spr	LÖnh bµi Tµng KiÕm s¬n trang, chØ trang chñ vµ vµi tæng qu¶n míi cã.		Thu thËp		1	0	0		
Tİn TiÔn	2	0	185	1	2000	999												\image\item\other\coll_135a1.spr	\image\item\other\coll_135a0.spr	Mòi tªn cã thuèc næ ®­îc giang hå dïng lµm c«ng cô liªn l¹c víi ®ång m«n.		Thu thËp		1	0	0		
Cµn Kh«n kİnh	2	0	186	1	666	999												\image\item\other\coll_027a1.spr	\image\item\other\coll_027a0.spr	Kİnh ®ång sau l­ng cã vÏ B¸t qu¸i ®å.		Thu thËp		1	0	0		
Ngäc Nh­ ı	2	0	187	1	5000	999												\image\item\other\coll_039a1.spr	\image\item\other\coll_039a0.spr	Ngäc Nh­ ı mµu tr¾ng sang träng, chØ ng­êi giµu míi cã.		Thu thËp		1	0	0		
Qu¹t giÊy	2	0	188	1	97	999												\image\item\other\coll_136a1.spr	\image\item\other\coll_136a0.spr	Qu¹t giÊy cña c¸c v¨n sÜ th­êng dïng.		Thu thËp		1	0	0		
QuÕ Hoa Töu	2	0	189	1	888	999												\image\item\usable\food_012a1.spr	\image\item\usable\food_012a0.spr	MËt phÈm cña Tµng KiÕm s¬n trang, uèng vµo gióp t¨ng c­êng c«ng lùc.		Thu thËp	\script\item\guahuajiu.lua	1	0	0		
Th¸i B¹ch Ch©n Tİch	2	0	190	1	566	999												\image\item\other\coll_137a1.spr	\image\item\other\coll_137a0.spr	Kú tr©n dŞ b¶o, thiªn h¹ chØ cã mét		Thu thËp		1	0	0		
GiÊy dÇu	2	0	191	1	97	999												\image\item\other\spec_004a1.spr	\image\item\other\spec_004a0.spr	Chèng thÊm n­íc, dïng gãi ®å vËt quan träng.		Thu thËp		1	0	0		
Bót l«ng Tïng s¬n	2	0	192	1	356	999												\image\item\other\coll_138a1.spr	\image\item\other\coll_138a0.spr	Bót l«ng næi tiÕng kh¾p thiªn h¹, ®­îc c¸c Th­ ph¸p gia rÊt yªu thİch.		Thu thËp		1	0	0		
KÒm g¾p than	2	0	193	1	97	999												\image\item\other\coll_047a1.spr	\image\item\other\coll_047a0.spr	Dông cô dïng g¾p c¸c m¶nh s¾t khi ®óc kiÕm.		Thu thËp		1	0	0		
ThiÕt Chïy	2	0	194	1	97	999												\image\item\cloth\tool_003a1.spr	\image\item\cloth\tool_003a0.spr	Dông cô ®óc kiÕm.		Thu thËp		1	0	0		
KhÈn Th©n D¹ Hµnh y	2	0	195	1	97	999												\image\item\other\coll_139a1.spr	\image\item\other\coll_139a0.spr	Trang phôc ®Æc tr­ng cña thİch kh¸ch.		Thu thËp		1	0	0		
D©y bay	2	0	196	1	356	999												\image\item\other\coll_089a1.spr	\image\item\other\coll_089a0.spr	Dông cô cÇn thiÕt cña c¸c thİch kh¸ch.		Thu thËp		1	0	0		
Tİch LŞch L«i Ch©u	2	0	197	1	566	999												\image\item\other\secr_019a1.spr	\image\item\other\secr_019a0.spr	¸m khİ th­êng gÆp trong giang hå, khi næ khãi bay mï mŞt ®­îc c¸c thİch kh¸ch rÊt ­a dïng.		Thu thËp		1	0	0		
Tµng Kim Long kiÕm	2	0	198	1	0	1												\image\item\other\quest_015a1.spr	\image\item\other\quest_015a0.spr	Mét trong nh÷ng thanh kiÕm næi tiÕng cña Tµng KiÕm s¬n trang.		NhiÖm vô	\script\item\cangjianjinjian.lua	1	2	1		
Tµng §µo Méc kiÕm	2	0	199	1	0	1												\image\item\other\quest_016a1.spr	\image\item\other\quest_016a0.spr	Mét trong nh÷ng thanh kiÕm næi tiÕng cña Tµng KiÕm s¬n trang.		NhiÖm vô	\script\item\cangjianmujian.lua	1	2	1		
Tµng Bİch Thñy kiÕm	2	0	200	1	0	1												\image\item\other\quest_017a1.spr	\image\item\other\quest_017a0.spr	Mét trong nh÷ng thanh kiÕm næi tiÕng cña Tµng KiÕm s¬n trang.		NhiÖm vô	\script\item\cangjianshuijian.lua	1	2	1		
Tµng Háa V©n kiÕm	2	0	201	1	0	1												\image\item\other\quest_018a1.spr	\image\item\other\quest_018a0.spr	Mét trong nh÷ng thanh kiÕm næi tiÕng cña Tµng KiÕm s¬n trang.		NhiÖm vô	\script\item\cangjianhuojian.lua	1	2	1		
Tµng Thæ kiÕm	2	0	202	1	0	1												\image\item\other\quest_019a1.spr	\image\item\other\quest_019a0.spr	Mét trong nh÷ng thanh kiÕm næi tiÕng cña Tµng KiÕm s¬n trang.		NhiÖm vô	\script\item\cangjiantujian.lua	1	2	1		
Tµng Du Long kiÕm	2	0	203	1	0	1												\image\item\other\quest_020a1.spr	\image\item\other\quest_020a0.spr	Thanh kiÕm næi tiÕng ®­îc néi viÖn tæng qu¶n tr«ng coi.		NhiÖm vô		1	2	1		
Hæ Cèt M©n S¬n ®¬n	2	0	204	1	0	1												\image\item\usable\heal_006a1.spr	\image\item\usable\heal_006a0.spr	Linh ®¬n diÖu d­îc do Tö H¹c Ch©n Nh©n bµo chÕ.		NhiÖm vô		1	2	0		
ThiÕu L©m lÖnh bµi	2	0	205	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ra vµo mËt thÊt ThiÕu L©m.		NhiÖm vô		1	0	0		
Vâ §ang lÖnh bµi	2	0	206	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ra vµo mËt thÊt Vâ §ang.		NhiÖm vô		1	0	0		
Nga My lÖnh	2	0	207	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ra vµo mËt thÊt Nga My.		NhiÖm vô		1	0	0		
C¸i Bang lÖnh bµi	2	0	208	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ra vµo mËt thÊt C¸i Bang.		NhiÖm vô		1	0	0		
§­êng M«n lÖnh bµi	2	0	209	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ra vµo mËt thÊt §­êng M«n.		NhiÖm vô		1	0	0		
Ph¸ Chó thñy	2	0	210	1	0	3												\image\item\usable\heal_022a1.spr	\image\item\usable\heal_022a0.spr	MËt d­îc do Tö H¹c Ch©n Nh©n bµo chÕ, cã thÓ kh¾c chÕ tµ ph¸p cña T©y H¹.		NhiÖm vô		1	2	0		
Thiªn Linh Ph¸ Tµ Ch©u	2	0	211	1	0	1												\image\item\other\coll_045a1.spr	\image\item\other\coll_045a0.spr	MËt d­îc do Tö H¹c Ch©n Nh©n bµo chÕ, cã thÓ kh¾c chÕ tµ ph¸p cña T©y H¹.		NhiÖm vô		1	2	0		
Ch×a khãa tiÖm t¹p hãa	2	0	212	1	0	1												\image\item\other\quest_021a1.spr	\image\item\other\quest_021a0.spr	X¸c nhËn th©n phËn chñ tiÖm.		NhiÖm vô		1	3	1		
Ph¸o tiÓu	2	0	213	1	0	1												\image\item\other\quest_022a1.spr	\image\item\other\quest_022a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
Ph¸o	2	0	214	1	0	1												\image\item\other\quest_023a1.spr	\image\item\other\quest_023a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
Trøng gµ	2	0	215	1	0	1												\image\item\other\quest_024a1.spr	\image\item\other\quest_024a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
GiÊy niªm phong	2	0	216	1	0	1												\image\item\other\quest_025a1.spr	\image\item\other\quest_025a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
Th¸i Thó thñ dô	2	0	217	1	0	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
ThÎ tu bŞ vøt bá	2	0	218	1	0	1												\image\item\other\quest_027a1.spr	\image\item\other\quest_027a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
Sæ s¸ch	2	0	219	1	0	1												\image\item\other\quest_028a1.spr	\image\item\other\quest_028a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
Nh·n	2	0	220	1	0	1												\image\item\other\quest_029a1.spr	\image\item\other\quest_029a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
M«n thÇn häa t­îng	2	0	221	1	0	1												\image\item\other\quest_030a1.spr	\image\item\other\quest_030a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
Kİnh ®ång	2	0	222	1	0	1												\image\item\other\quest_031a1.spr	\image\item\other\quest_031a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
M«n thÇn häa t­îng cò	2	0	223	1	0	1												\image\item\other\quest_032a1.spr	\image\item\other\quest_032a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
MËt tİn	2	0	224	1	0	1												\image\item\other\quest_033a1.spr	\image\item\other\quest_033a0.spr	ChØ sö dông trong c¸c tiÖm t¹p hãa.		NhiÖm vô		1	0	0		
VĞ sè	2	0	225	1	0	1												\image\item\other\quest_038a1.spr	\image\item\other\quest_038a0.spr	Sö dông cã thÓ nhËn ®­îc ®iÓm kinh nghiÖm nhÊt ®Şnh		NhiÖm vô	\script\item\jiangquan.lua	1	0	0		
Phi TuyÕt Liªn Thiªn	2	0	226	1	0	9														Do §­êng V©n chÕ t¹o.		NhiÖm vô		1	2	0		
Thanh T©m gi¶i ®éc t¸n	2	0	227	1	0	9														D­îc phÈm do §­êng Xu©n bµo chÕ.		NhiÖm vô		1	2	0		
Háa khİ kiÓu míi	2	0	228	1	0	1														Háa khİ do §­êng Ng¹o míi chÕ t¹o, uy lùc cùc lín.		NhiÖm vô		1	2	0		
Phi Háa L­u Tinh Vò	2	0	229	1	0	1														Háa khİ do §­êng Ng¹o míi chÕ t¹o, uy lùc cùc lín.		NhiÖm vô		1	2	0		
Hoa C¸i Truy Hån T¶n	2	0	230	1	0	1														¸m khİ do §­êng Kş míi chÕ t¹o, uy lùc cùc lín.		NhiÖm vô		1	2	0		
B¸ch B¶o Nang	2	0	231	1	0	1														Bao thuèc do §­êng Xu©n ®Æc chÕ, rÊt c«ng hiÖu.		NhiÖm vô		1	2	0		
B¸ch B¶o Nang	2	0	232	1	0	9														Bao thuèc do §­êng Xu©n ®Æc chÕ, rÊt c«ng hiÖu.		NhiÖm vô		1	2	0		
B¨ng T©m T¸n	2	0	233	1	0	1														Thuèc gi¶i do §­êng Xu©n ®Æc chÕ, cã thÓ ng¨n chÆn ®éc tİnh lan táa.		NhiÖm vô		1	2	0		
Hång ThÊu Cèt ®inh	2	0	234	1	0	1														¸m khİ kú qu¸i t×m ®­îc trªn thi thÓ Hµnh thi ë Giang T©n th«n.		NhiÖm vô		1	2	0		
Hãa Thi Thñy	2	0	235	1	0	20														ChÊt kŞch ®éc do §éc Si ®Æc chÕ, yªu qu¸i còng khã sèng næi.		NhiÖm vô		1	2	0		
Th©u Thiªn Ho¸n NhËt	2	0	236	1	0	1														C¹m bÉy cña §­êng Hång L­îng, cã thÓ chuyÓn hãa ®èi ph­¬ng cã thuéc tİnh ©m thµnh ®èi ph­¬ng tÇm th­êng.		NhiÖm vô		1	2	0		
Th­ D­¬ng NghiÖp	2	0	237	1	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ D­¬ng NghiÖp göi cho KhÊu ChuÈn.		NhiÖm vô		1	2	0		
