Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	"Có thể giao dịch hay không ( 0 có thể giao dịch, có thể bán; 1 không thể giao dịch không thể bán; 2 có thể bán, không thể giao dịch; 3 không thể bán, có thể giao dịch; 4 có thể bán, sau khi mang vào sẽ bị khóa)"	Có/không thể vứt (0 được; 1 không được)	Bảo lưu 1	Bảo lưu 2	Bảo lưu 3	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Lông sói	2	1	5	1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	Dùng để làm bút lông.		Thu thập		1									
Noãn trùng	2	1	6	1	10	999												\image\item\other\coll_006a1.spr	\image\item\other\coll_006a0.spr	Có thể nở thành ấu trùng.		Thu thập		1									
Nanh heo rừng	2	1	7	1	10	999												\image\item\other\coll_007a1.spr	\image\item\other\coll_007a0.spr	Có thể dùng làm trang sức.		Thu thập		1									
Lông sói thượng đẳng	2	1	8	1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	Dùng để làm bút lông.		Thu thập		1									
Vấn Lộ thạch	2	1	9	1	10	999												\image\item\other\coll_009a1.spr	\image\item\other\coll_009a0.spr	Loại đá ban đêm phát sáng.		Thu thập		1									
Thiết Ban Chỉ	2	1	10	1	10	999												\image\item\other\coll_010a1.spr	\image\item\other\coll_010a0.spr	Các cung thủ thường sử dụng		Thu thập		1									
Tú hoa hài	2	1	11	1	10	999												\image\item\other\coll_011a1.spr	\image\item\other\coll_011a0.spr	"Các thiếu nữ thường mang, trên có gắn nhiều hoa nhỏ."		Thu thập		1									
Thiêu tửu	2	1	12	1	10	999												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	"Loại rượu bình dân, rất dễ mua"		Thu thập		1									
Tổ ong	2	1	13	1	14	999												\image\item\other\coll_013a1.spr	\image\item\other\coll_013a0.spr	Bên trong có chứa nhiều mật.		Thu thập		1									
Nanh heo thượng hạng	2	1	14	1	14	999												\image\item\other\coll_007a1.spr	\image\item\other\coll_007a0.spr	Có thể dùng làm trang sức.		Thu thập		1									
Gấm lam	2	1	15	1	14	999												\image\item\other\coll_015a1.spr	\image\item\other\coll_015a0.spr	"Loại lụa quý hiếm, nghìn vàng khó mua!"		Thu thập		1									
Hầu Nhi Quả	2	1	16	1	14	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	"Mùi vị thơm ngọt, thực phẩm yêu thích của hắc hầu"		Thu thập		1									
Thanh Kim	2	1	17	1	14	999												\image\item\other\coll_017a1.spr	\image\item\other\coll_017a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Cánh dơi	2	1	18	1	14	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	Có thể chế tạo độc dược		Thu thập		1									
Hổ vĩ	2	1	19	1	14	999												\image\item\other\coll_019a1.spr	\image\item\other\coll_019a0.spr	"Đuôi hổ trăm tuổi, cực kỳ quý hiếm."		Thu thập		1									
Thiết Thương Đầu	2	1	20	1	14	999												\image\item\other\coll_020a1.spr	\image\item\other\coll_020a0.spr	"Loại thương thông thường, rất dễ mua."		Thu thập		1									
Bao đao	2	1	21	1	14	999												\image\item\other\coll_021a1.spr	\image\item\other\coll_021a0.spr	"Được làm từ da thú, cực kỳ bền chắc."		Thu thập		1									
Tuyết Tinh	2	1	22	1	14	999												\image\item\other\coll_022a1.spr	\image\item\other\coll_022a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Thối Cốt	2	1	23	1	14	999												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	Mảnh xương lâu năm		Thu thập		1									
Sưu Thần Ký	2	1	24	1	14	999												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	"Được lưu lại từ thời Đông Tấn, bên trong có ghi chép nhiều điều bí ẩn."		Thu thập		1									
Giáp Mộc Bài	2	1	25	1	16	999												\image\item\other\coll_025a1.spr	\image\item\other\coll_025a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
ám Yên	2	1	26	1	16	999												\image\item\other\coll_026a1.spr	\image\item\other\coll_026a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Âm Phách	2	1	27	1	16	999												\image\item\other\coll_027a1.spr	\image\item\other\coll_027a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Trứng chim	2	1	28	1	16	999												\image\item\other\coll_028a1.spr	\image\item\other\coll_028a0.spr	Có thể nở thanh chim non		Thu thập		1									
Bảo Bình	2	1	29	1	16	999												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	"Loại bình cổ xưa, có thể đổi ngân lượng."		Thu thập		1									
Đồng kiếm	2	1	30	1	16	999												\image\item\other\coll_030a1.spr	\image\item\other\coll_030a0.spr	"Loại kiếm thông thường, rất dễ mua."		Thu thập		1									
Mộc Thủ	2	1	31	1	16	999												\image\item\other\coll_031a1.spr	\image\item\other\coll_031a0.spr	"Tay mộc nhân, ẩn giấu nhiều ám khí."		Thu thập		1									
Hồng Tinh	2	1	32	1	16	999												\image\item\other\coll_032a1.spr	\image\item\other\coll_032a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
ất Mộc Bài	2	1	33	1	16	999												\image\item\other\coll_033a1.spr	\image\item\other\coll_033a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Quan phục	2	1	34	1	16	999												\image\item\other\coll_034a1.spr	\image\item\other\coll_034a0.spr	Trang phục của quan lại Cửu phẩm tuần tra		Thu thập		1									
Bánh nướng	2	1	35	1	16	999												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Mùi vị thơm ngon hấp dẫn.		Thu thập		1									
Gia Pháp bổng	2	1	36	1	16	999												\image\item\other\coll_036a1.spr	\image\item\other\coll_036a0.spr	"Loại bổng dùng trừng trị gia pháp, khi đánh làm bong tróc da thịt."		Thu thập		1									
Lang Hồn	2	1	37	1	16	999												\image\item\other\coll_037a1.spr	\image\item\other\coll_037a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Hàng hóa	2	1	38	1	16	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Túi hàng hóa của các thương gia khi vận chuyển.		Thu thập		1									
Dạ Minh Châu	2	1	39	1	16	999												\image\item\other\coll_039a1.spr	\image\item\other\coll_039a0.spr	"Kỳ trân dị bảo, ngàn vàng khó mua."		Thu thập		1									
Thương gãy	2	1	40	1	16	999												\image\item\other\coll_040a1.spr	\image\item\other\coll_040a0.spr	Đầu mũi thương bị chặt đứt		Thu thập		1									
Kim Thoa	2	1	41	1	16	999												\image\item\other\coll_041a1.spr	\image\item\other\coll_041a0.spr	Thiếu nữ vùng Giang Nam vừa làm trang trang sức vừa làm vũ khí.		Thu thập		1									
Miếng đồng	2	1	42	1	16	999												\image\item\other\coll_042a1.spr	\image\item\other\coll_042a0.spr	Mảnh đồng vàng óng cực nặng.		Thu thập		1									
Thảo hài	2	1	43	1	16	999												\image\item\other\coll_043a1.spr	\image\item\other\coll_043a0.spr	"Được kết bằng cỏ, trông mộc mạc nhưng cực kỳ bền chắc."		Thu thập		1									
Tửu Bôi	2	1	44	1	16	999												\image\item\other\coll_044a1.spr	\image\item\other\coll_044a0.spr	"Giá trị liên thành, ngàn vàng khó mua."		Thu thập		1									
Tuyết Phách	2	1	45	1	17	999												\image\item\other\coll_045a1.spr	\image\item\other\coll_045a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Bính Mộc Bài	2	1	46	1	17	999												\image\item\other\coll_046a1.spr	\image\item\other\coll_046a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Thiết Xoa	2	1	47	1	17	999												\image\item\other\coll_047a1.spr	\image\item\other\coll_047a0.spr	"Loại thiết xoa có mũi cứng, cán to, bề mặt thép có nhiều lỗ."		Thu thập		1									
Đuôi Hổ vàng	2	1	48	1	17	999												\image\item\other\coll_019a1.spr	\image\item\other\coll_019a0.spr	"Vì tìm đuôi Hoàng Hổ Vương, nhiều thợ săn đã mất mạng."		Thu thập		1									
Thần Ma chí	2	1	49	1	17	999												\image\item\other\coll_049a1.spr	\image\item\other\coll_049a0.spr	Khi Hậu Hán đạo sư Trương Đạo Lăng thoái ẩn Bắc Mang sơn đã ghi lại vô số đặc tính và hình dáng của yêu vật.		Thu thập		1									
Thủ Cốt	2	1	50	1	17	999												\image\item\other\coll_050a1.spr	\image\item\other\coll_050a0.spr	Có thể tinh chế pháp khí		Thu thập		1									
U Hồn	2	1	51	1	17	999												\image\item\other\coll_051a1.spr	\image\item\other\coll_051a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Trãm Tửu	2	1	52	1	17	999												\image\item\other\coll_052a1.spr	\image\item\other\coll_052a0.spr	"Lông của một loài chim độc ngâm rượu, uống vào có thể chết ngay."		Thu thập		1									
Di Tắc Chung	2	1	53	1	17	999												\image\item\other\coll_053a1.spr	\image\item\other\coll_053a0.spr	"Một loại chuông đồng cổ xưa, âm thanh có thể vang xa ngàn dặm."		Thu thập		1									
Gấm vàng	2	1	54	1	17	999												\image\item\other\coll_054a1.spr	\image\item\other\coll_054a0.spr	"Loại lụa quý hiếm, nghìn vàng khó mua "		Thu thập		1									
Bình trà	2	1	55	1	17	999												\image\item\other\coll_055a1.spr	\image\item\other\coll_055a0.spr	"Kiểu dáng cổ xưa, người Nhật thường dùng để pha trà."		Thu thập		1									
Công Văn	2	1	56	1	17	999												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	"Chiếu thư triều đình đưa xuống các nha môn, bên trong chứa nhiều tin tức quan trọng."		Thu thập		1									
Hộp trang sức	2	1	57	1	17	999												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	"Hộp trang sức phụ nữ, đôi khi được dùng để chứa những vật phẩm quý."		Thu thập		1									
Cánh dơi	2	1	58	1	17	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	Có thể tinh chế đơn dược dùng để trị độc.		Thu thập		1									
Đinh Mộc Bài	2	1	59	1	17	999												\image\item\other\coll_059a1.spr	\image\item\other\coll_059a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Bầu rượu da dê	2	1	60	1	17	999												\image\item\other\coll_060a1.spr	\image\item\other\coll_060a0.spr	Các dân tộc phía bắc Trường Thành dùng để chứa rượu.		Thu thập		1									
Dây xích	2	1	61	1	17	999												\image\item\other\coll_061a1.spr	\image\item\other\coll_061a0.spr	"Trang bị khí giới chuyên dụng của cao thủ Lục Phiến Môn, dùng để trói trọng phạm."		Thu thập		1									
Lục Phách	2	1	62	1	18	999												\image\item\other\coll_062a1.spr	\image\item\other\coll_062a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Móc Câu	2	1	63	1	18	999												\image\item\other\coll_063a1.spr	\image\item\other\coll_063a0.spr	Loại móc của nhân sĩ võ lâm dùng để leo lên các dốc cao.		Thu thập		1									
Mậu Mộc Bài	2	1	64	1	18	999												\image\item\other\coll_064a1.spr	\image\item\other\coll_064a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Bầu rượu da dê	2	1	65	1	18	999												\image\item\other\coll_060a1.spr	\image\item\other\coll_060a0.spr	Các dân tộc phía bắc Trường Thành dùng để chứa rượu.		Thu thập		1									
Kỷ Mộc Bài	2	1	66	1	18	999												\image\item\other\coll_066a1.spr	\image\item\other\coll_066a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Đại Tống địa chí	2	1	67	1	18	999												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	"Ghi chép tỷ mỉ về núi sông, cửa ải, sông ngòi và địa hình của Đại Tống."		Thu thập		1									
Châm cứu đồng nhân	2	1	68	1	18	999												\image\item\other\coll_068a1.spr	\image\item\other\coll_068a0.spr	"Lợi dụng thuật châm cứu để chế tạo Đồng nhân, có thể phóng ra thủy ngân kịch độc."		Thu thập		1									
Hoàng Kim Ban Chỉ	2	1	69	1	18	999												\image\item\other\coll_069a1.spr	\image\item\other\coll_069a0.spr	Loại ban chỉ làm bằng vàng sáng chói.		Thu thập		1									
Canh Mộc Bài	2	1	70	1	18	999												\image\item\other\coll_070a1.spr	\image\item\other\coll_070a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Thiết Bát Quái	2	1	71	1	18	999												\image\item\other\coll_071a1.spr	\image\item\other\coll_071a0.spr	"Có màu đen, được treo bằng chỉ tơ, dùng để luyện chưởng lực."		Thu thập		1									
ấn Thạch	2	1	72	1	18	999												\image\item\other\coll_072a1.spr	\image\item\other\coll_072a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Đinh Ba	2	1	73	1	18	999												\image\item\other\coll_073a1.spr	\image\item\other\coll_073a0.spr	Có thể làm vũ khí phòng thân.		Thu thập		1									
Bao tay Da hươu	2	1	74	1	18	999												\image\item\other\coll_074a1.spr	\image\item\other\coll_074a0.spr	Loại bao tay bảo vệ cực tốt.		Thu thập		1									
Mục Lôi Văn Đao	2	1	75	1	18	999												\image\item\other\coll_075a1.spr	\image\item\other\coll_075a0.spr	"Đao đồng có hình dáng cổ xưa, được xem như cổ vật hơn là dùng làm vũ khí."		Thu thập		1									
Mẫu Đơn	2	1	76	1	18	999												\image\item\other\coll_076a1.spr	\image\item\other\coll_076a0.spr	"Được mệnh danh là Bách Hoa Vương, tỏa hương thơm khiến lòng người ngất ngây."		Thu thập		1									
Tân Mộc Bài	2	1	77	1	18	999												\image\item\other\coll_077a1.spr	\image\item\other\coll_077a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Hùng Văn	2	1	78	1	18	999												\image\item\other\coll_078a1.spr	\image\item\other\coll_078a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Kim Xứng Xà	2	1	79	1	18	999												\image\item\other\coll_079a1.spr	\image\item\other\coll_079a0.spr	Quả cân của sơn trại trại chủ dùng để phân chia tặng vật.		Thu thập		1									
Kiếm Hồn	2	1	80	1	18	999												\image\item\other\coll_080a1.spr	\image\item\other\coll_080a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Bạch Vân bôi	2	1	81	1	18	999												\image\item\other\coll_081a1.spr	\image\item\other\coll_081a0.spr	"Ly cổ được làm từ Bạch Ngọc, đáy ly có hình rồng nhỏ, được dùng để thưởng thức mỹ tửu."		Thu thập		1									
Quy Hoa Kính	2	1	82	1	18	999												\image\item\other\coll_082a1.spr	\image\item\other\coll_082a0.spr	"Là tấm kính cổ, trên lưng kính khắc hoa văn bát quái đầy bí ẩn."		Thu thập		1									
Nhâm Mộc Bài	2	1	83	1	18	999												\image\item\other\coll_083a1.spr	\image\item\other\coll_083a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Hổ Phách	2	1	84	1	18	999												\image\item\other\coll_084a1.spr	\image\item\other\coll_084a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Quý Mộc Bài	2	1	85	1	18	999												\image\item\other\coll_085a1.spr	\image\item\other\coll_085a0.spr	"Trên có khắc hoa văn, ký hiệu kỳ quái."		Thu thập		1									
Kim Cang	2	1	86	1	18	999												\image\item\other\coll_086a1.spr	\image\item\other\coll_086a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Ngọc Như ý	2	1	87	1	18	999												\image\item\other\coll_087a1.spr	\image\item\other\coll_087a0.spr	Mang vào sẽ khiến tâm tính hiền hòa.		Thu thập		1									
Bình Ngọc	2	1	88	1	18	999												\image\item\other\coll_088a1.spr	\image\item\other\coll_088a0.spr	"Được làm từ bạch ngọc, kiểu dáng cổ xưa vô cùng trang nhã."		Thu thập		1									
Tê Ngưu Cung	2	1	89	1	18	999												\image\item\other\coll_089a1.spr	\image\item\other\coll_089a0.spr	"Được làm bằng sừng tê giác, trên có khảm nạm ngũ thạch cực kỳ quý hiếm."		Thu thập		1									
Nhẫn Hộ Phật	2	1	90	1	18	999												\image\item\other\coll_090a1.spr	\image\item\other\coll_090a0.spr	Có thể khắc chế được tà tâm.		Thu thập		1									
Lục Trụ	2	1	91	1	18	999												\image\item\other\coll_091a1.spr	\image\item\other\coll_091a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Quỷ Hồn	2	1	92	1	20	999												\image\item\other\coll_092a1.spr	\image\item\other\coll_092a0.spr	"Một loại đá quý, giá trị vô song."		Thu thập		1									
Vòng Bạch Ngọc	2	1	93	1	20	999												\image\item\other\coll_093a1.spr	\image\item\other\coll_093a0.spr	"Bạch ngọc ngàn năm, ngàn vàng khó mua."		Thu thập		1									
Tà Phật Ban Chỉ	2	1	94	1	20	999												\image\item\other\coll_094a1.spr	\image\item\other\coll_094a0.spr	Các cao tăng thường đeo để trừ tà ma.		Thu thập		1									
Tuyết Hoa Giới Cơ	2	1	95	1	20	999												\image\item\other\coll_095a1.spr	\image\item\other\coll_095a0.spr	"Chế tạo bằng thép rất nặng, được các tăng lữ hay dùng."		Thu thập		1									
Chỉ Nam Ngư	2	1	96	1	20	999												\image\item\other\coll_096a1.spr	\image\item\other\coll_096a0.spr	"Nung đỏ kim thép rồi lấy nước xối nguội, đặt vào nước có thể chỉ được phương hướng."		Thu thập		1									
Thương Hàn luận	2	1	97	1	20	999												\image\item\other\coll_097a1.spr	\image\item\other\coll_097a0.spr	"Sách Y pháp nổi tiếng của danh y Trương Trọng Cảnh đời Hán, mô tả chi tiết cách điều trị bệnh thương hàn."		Thu thập		1									
Khê Sơn chí	2	1	98	1	20	999												\image\item\other\coll_098a1.spr	\image\item\other\coll_098a0.spr	Bản gốc bức danh họa Bản đồ rừng núi của danh sĩ đương triều Phạm Khoan.		Thu thập		1									
